job_title_full,salary,company,user_id,has_applied,v1,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v2,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v3,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v4,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v5,v50,v51,v52,v53,v54,v55,v56,v6,v7,v8,v9
 SEO Marketeer - New Ventures ,NA,b,U323,0,0.6,0.93,0.5,0.21,0.88,0.42,0.12,0.37,0.65,0.61,0.93,0.21,0.8,0.21,0.52,0.17,0.62,NaN,0.87,0.12,0.61,0.05,0.49,NaN,1,0.89,0.77,0.42,0.46,0.55,0.11,0.75,0.08,0.53,0.29,0.81,0.67,0.53,0.12,0.42,NaN,0.66,0.75,0.19,0.41,0.58,0.28,0.12,0.97,0.19,0.76,0.35,0.61,0.82,0.27,0.92
Junior Manager Innovation Lab - France (M/F/D),NA,f,U324,0,0.41,0.42,0.08,0.84,0.25,0.87,0.58,0.95,0.06,0.39,0.31,0.31,0.12,0.38,0.16,0.15,0.33,NaN,0.93,0.52,0.33,0.48,0.74,NaN,0.9,0.5,0.3,0,0.8,0.11,0.72,0.95,0.71,0.04,0.12,0.67,0.87,0.38,0.7,0.05,0.95,0.73,0.85,0.21,0.99,0.47,0.09,0.17,0.1,0.32,0.78,0.52,0.39,0.23,0.68,0.88
 Data Analyst - (Remote) m/f/d,NA,d,U325,0,0.82,0.91,0.76,0.75,0.56,0.44,0.56,0.07,0.01,0.6,0.2,0.4,0.34,0.67,0.9,0.09,0.2,0.53,0.79,0.62,0.25,0.25,NaN,NaN,0.79,0.94,0.57,0.9,0.38,0.46,0.08,0.87,0.53,0.6,0.62,0.58,0.5,0.62,0.56,0.03,0.49,0.63,0.81,0.21,0.62,0.9,0.05,0.85,0.8,0.23,0.31,0.25,0.51,0.04,0.68,0.68
Junior Data Scientist - Deep Learning,NA,a,U326,1,0.84,NaN,0.22,0.18,0.91,0.3,0.61,0.06,0.18,0.32,0.67,0.98,0.15,0.86,0.2,0.13,0.94,NaN,0.61,0.61,0.22,0.83,0.78,0.95,0.77,0.92,0.47,NaN,0.63,0.2,0.05,0.74,0.38,0.14,0.64,0,0.21,0.8,0.83,0.2,0.81,0.73,0.22,0.47,0.51,0.45,0.18,0.8,0.12,0.13,0.96,0.38,0.03,0.18,0.91,0.45
Junior Marketing Analyst - (Remote),NA,e,U327,1,0.18,0.55,0.18,0.36,0.14,0.94,0.97,0.53,0.82,0.9,0.26,0.46,0.03,0.82,0.9,0.66,0.97,NaN,0.48,0.15,0.06,0.07,0.74,NaN,0.02,0.72,0.3,0.85,0.74,0.36,0.72,0.31,0.12,0.49,0.33,0.89,0.4,0.69,0.99,0.39,NaN,0.61,0.3,0.43,0.78,NaN,0.16,0.43,0.48,0.79,0.32,0.3,0.38,0.14,0.96,0.97
Lead Growth Marketing Manager - New Ventures  (M/F/D),NA,e,U328,1,0.95,0.63,0.1,0.56,0.46,0.49,0.93,NaN,0.56,0.85,0.05,0.33,0.58,0.31,0.52,0.59,0.95,NaN,0.56,0.57,0.75,0.17,0.43,NaN,0.02,0.28,0.73,0.98,0.52,0.82,0.22,0.44,0.71,0.47,0.79,0.98,0.11,0.7,NaN,0.73,0.33,0.89,0.96,0.11,0.19,0.77,0.4,0.81,0.04,0.48,0.23,0.14,1,0.61,0.77,0.49
Senior Product Manager -  Mobile,NA,a,U329,1,0.64,0.27,0.34,0.02,0.82,0.09,0.2,0.75,1,0.06,0.11,0.7,0.13,0.08,0.36,0.61,0.74,NaN,0.09,0.63,0.65,0.26,0.81,NaN,0.63,0.27,0.63,NaN,0.5,0.42,0.95,0.96,0.13,0.35,NaN,0.2,0.81,0.97,0.82,0.61,0.46,0.2,0.85,0.47,0.13,0.53,0,0.93,0.93,0.23,0.33,0.35,0.58,0.71,0.2,0.36
Junior Manager Policy Affairs - France,64000,d,U330,1,0.6,0.23,0.63,0.2,0.95,0.07,0.02,0.82,0.88,0.08,0.54,0.78,0.21,0.29,0.13,0.47,0.71,NaN,0.02,0.03,0.66,0.35,0.5,0.02,0.88,0.52,0.32,0.59,0.24,0.13,0.67,0.12,0.78,0.66,0.22,0.5,0.59,0.97,0.71,0.98,0.48,NaN,0.75,0.52,0.65,0.82,0.77,0.3,0.2,0.45,0.23,0.22,0.38,0.5,0.56,0.73
Junior Growth Hacker - New Ventures ,NA,h,U331,1,0.15,0.99,0.07,0.46,0.1,0.76,0.07,0.21,0.68,0.91,0.65,0.13,0.74,0.58,0.99,0.08,0.39,NaN,0.78,0.54,0.2,0.23,0.96,0.49,0.14,0.68,0.62,0.66,0.71,0.61,0.77,0.17,0.01,0.91,0.25,0.65,0,0.81,0.35,0.65,0.61,0.15,0.34,0.08,0.09,0.05,0.89,0.09,0.67,0.11,0.95,0.88,0.95,0.87,0.1,0.93
Senior Onboarding Manager (m/f/d),61000,c,U332,1,0.88,0.85,0.2,0.86,NaN,0.07,0.31,0.66,0.58,0.76,0.44,0.71,NaN,0.17,0.14,0.56,0.75,NaN,0.2,0.09,0.57,0.93,0.77,0.81,0.78,0.19,0.57,0.26,0.98,0.68,NaN,0.65,0.43,0.35,0.01,0.28,0.55,0.45,0.69,0.41,0.31,0.37,0.85,0.6,0.38,0.42,0.25,0.62,0.64,0.46,0.53,0.42,0.68,0.62,0.25,0.57
Junior Product Owner - NLP,69000,f,U333,1,0.4,0.26,0.59,0.82,0.86,0.81,0.3,0.51,0.02,0.55,0.18,0.39,0.4,0.61,0.24,0.05,0.46,NaN,0.54,0.46,0.17,0.66,0.95,0.52,0.98,0.81,0.22,0.13,0.02,0.77,0.82,0.04,0.83,0.05,0.42,0.66,0.58,0.64,0.02,0.49,0.51,0.46,0.6,0.88,0.23,0.18,0.98,0.54,0.46,NaN,0.12,NaN,0.71,0.31,0.13,0.65
Lead Online Marketing Manager - (Remote) M/F/D,NA,a,U334,0,0.34,0.72,0.23,0.28,0.08,0.27,0.02,0.27,0.22,0.51,0.68,0.27,0.25,1,0.71,0.2,0.3,NaN,0.37,0.55,0.05,0.74,0.08,0.5,0.44,0.31,0.94,0.91,0.72,0.3,0.28,0.85,0.69,0.15,0.84,0.93,0.42,0.1,0.42,0.1,0.04,0.68,0.05,0.05,0.95,0.76,0.84,0.23,0.46,0.83,0.24,0.17,0.47,0.76,0.94,0.26
Senior Software Engineer,NA,b,U335,0,0.87,0.89,0.94,0.1,0.91,0.03,0.67,0.12,0.61,0.07,0.66,0.21,0.55,0.97,0.48,0.47,0.86,NaN,0.41,0.23,0.13,0.27,0.55,NaN,0.78,0.86,0.76,0.53,0.92,0.33,0.17,0.76,0.1,0.6,0.65,0.4,0.47,0.37,0.77,0.66,0.9,0.99,0.68,0.01,0.45,0.77,0.98,0.41,0.15,0.86,0.2,0.22,0.76,0.53,0.54,0.25
Junior Onboarding Manager - New Ventures (M/F/D),NA,d,U336,1,0.02,0.39,0.55,0.67,0.73,0.92,0.8,0.34,0.7,0.48,0.01,0.55,0.23,0.9,0.35,0.21,0.07,0.54,0.58,0.98,0.64,0.79,0.25,NaN,0.6,0.44,0.93,0.23,0.27,0.22,0.04,0.1,0.91,0.55,0.89,0.12,0.52,0.19,0.92,0.27,0.21,0.72,0.66,0.76,0.2,0.12,0.91,0.73,0.53,0.73,0.69,0.57,0.1,0.75,0.91,0.16
Lead Online Marketing Manager - (Remote) M/F/D,NA,g,U337,1,0.71,0.21,0.46,0.04,0.78,0.4,0.38,0.96,0.67,0.9,0.58,0.15,0.38,0.33,0.12,0.32,0.24,NaN,0.75,0.56,0.58,0.55,0.53,NaN,0.56,0.2,0.65,1,0.39,0.64,0.23,0.01,0.22,0.14,0.07,0.42,0.59,0.44,0.2,0.4,0.15,0.7,0.5,NaN,0.82,0.46,0.48,0.05,0.64,0.28,0.32,0.28,0.8,0.9,0.27,0.82
Junior SEO Marketeer - (Remote),NA,e,U338,1,0.3,0.97,0.29,0.15,0.35,0.7,0.44,0.57,0.79,0.7,0.93,0.25,0.2,0.46,0.37,0.54,0.73,0.16,0.87,0.09,0.87,0.97,0.29,0.63,0.43,0.41,0.62,0.19,0.89,0.52,0.96,0.97,0.25,0.95,0.39,0.55,0.79,0.65,0.58,0.39,0.02,0.48,0.8,0.67,0.08,0.68,0.35,0.82,0.47,0.96,0.15,0.72,0.35,0.51,0.25,0.09
Senior AI Researcher - NLP m/f/d,53000,g,U339,0,0.73,0.47,0.99,0.94,0.36,0.94,0.65,0.57,0.61,0.84,0.83,0.97,0.92,0.01,0.8,0.11,0.53,NaN,0.03,0.61,0.46,0.06,0.31,0.26,0.19,0.64,0.19,0.58,0.59,0.48,0.57,NaN,0.35,0.64,0.53,0.69,0.46,0.36,0.95,0.04,0.73,0.2,0.17,0.88,0.55,0.36,0.06,0.77,0.7,0.6,0.12,0.29,0.54,0.28,0.2,0.78
Senior Data Scientist - Supplier Financing M/F/D,NA,b,U340,1,0.08,0.83,0.76,0.44,0.26,0.25,0.75,0.09,0.29,0.86,0.35,0.3,0.02,0.65,0.38,0.51,0.42,NaN,0.9,0.67,0.31,0.71,0.9,NaN,0.77,0.22,0.24,0.23,0.63,0.87,NaN,0.67,0.5,0.84,0.57,0.53,0.91,0.45,0.4,0.89,0.45,0.73,0.23,0.05,0.14,0.58,0.57,0.88,0.1,0.38,0.86,0.82,0.28,0.08,0.17,0.68
Senior Frontend Engineer - (Remote) (m/f/d),NA,a,U341,0,0.8,0.92,0.75,0.49,0.32,0.54,0.24,0.46,0.42,0.37,0.44,0.28,0.01,0.51,0.91,0.85,0.88,NaN,0.55,0.57,0.9,0.09,0.38,NaN,0.08,0.65,0.13,0.4,0.68,0.35,0.4,0.64,NaN,0.7,0.09,0.77,0.02,0.26,0.91,0.43,0.6,0.57,0.68,0.31,0.54,0.34,0.32,0.67,0.26,0.04,0.47,0.52,0.71,0.42,0.3,0.05
 Online Marketing Manager,NA,g,U342,0,0.42,0.17,0.21,0.87,0.62,0.7,0.65,0.53,0.16,0.82,0.76,0.19,0.31,0.56,0.23,0.49,0.38,0.93,0.08,0.91,0.35,0.72,0.3,NaN,0.05,0.53,0.02,0.32,0.71,0.14,0.89,0.99,0.95,0.57,0.28,0.23,0.69,0.63,0.46,0.37,0.59,0.89,0.19,0.29,0.68,0.88,0.79,0.63,0.83,0.85,0.82,0.78,0.22,0.99,0.52,0.66
 SEO Marketeer - New Ventures ,52000,f,U343,0,0.09,0.38,0.48,0.14,0.7,0.36,0.67,0.94,0.65,0.23,0.94,0.75,0.77,0.59,0.78,0.47,0.49,NaN,0.78,0.55,0.74,0.12,0.14,NaN,0.75,0.39,0.01,0.68,0.37,0.31,0.6,0.32,0.89,0.82,0.2,0.12,0.67,0.06,0.64,0.45,0.02,0.8,0.93,0.11,0.96,0.05,0.9,0.62,0.16,0.71,0.36,0.94,0.89,0.27,0.33,NaN
Lead Product / UX Engineer - Pricing,NA,e,U344,1,0.81,0.3,0.81,0.47,0.58,0.36,0.21,0.76,0.84,0.43,0.83,0.37,0.4,0.27,0.23,0.2,0.45,NaN,0.63,0.28,0.33,0.77,0.89,NaN,0.67,0.99,0.31,0.99,0.31,0.24,0.27,0.52,0.26,0.81,0.53,0.55,0.26,0.73,0.14,0.25,0.22,0.06,0.49,0.37,0.94,0.18,0.02,0.38,0.76,0.99,0.32,0.97,0.35,0.95,0.34,0.76
Junior Manager Policy Affairs - France,NA,g,U345,0,0.54,0.71,0.74,0.53,0.3,0.23,0.68,0.69,0,0.66,0.21,0.06,0.77,0.63,0.97,0.49,0.98,NaN,NaN,0.56,0.54,NaN,0.92,NaN,0.1,0.5,0.04,0.66,0.2,0.35,0.54,0.59,0.42,0.56,0.92,0.65,0.07,0.98,0.92,0.01,0.75,0.62,0.39,0.93,0.79,0.6,0.83,0.38,0.09,0.22,0.31,0.6,0.16,0.71,0.65,0.14
Junior Software Developer,NA,a,U346,1,0.3,0.57,0.86,0.69,0.86,0.03,0.91,0.59,0.74,0.85,0.98,0.14,0.68,0.91,0.94,0.61,0.29,NaN,0.27,0.37,0.85,0.09,0.03,NaN,0.87,0.44,0.82,0.15,0.37,0.03,0.02,0.19,0.62,0.72,0.1,0.67,0.4,0.05,0.73,0.37,0.82,0.73,0.26,0.68,0.92,0.55,0.31,0.59,0.41,0.63,0.28,0.37,0.96,0.66,0.31,0.23
Junior SEO Marketeer - (Remote),NA,c,U347,1,0.77,0.27,0.5,0.58,0.54,0.35,0.45,0.93,0.75,0.53,0.48,0.81,0.4,0.3,0.47,0.73,0.88,0.29,0.59,0.48,0.38,0.06,0.95,0.14,0.46,0.44,0.11,0.58,0.82,0.34,0.39,0.31,0.72,0.02,0.62,0.4,0.98,0.39,0.06,0.82,0.74,0.77,0.9,0.49,0.61,0.13,0.51,0.89,0.19,0.86,0.66,0.17,0.28,0.35,0.59,0.86
Senior Software Engineer,NA,b,U348,1,0.77,0.14,0.23,0.21,0.5,0.75,0.81,0.78,0.6,0.16,0.32,0.79,0.51,0.36,0.97,0.53,0.24,NaN,0.75,1,0.55,0.15,0.9,NaN,0.17,0.54,0.32,0.85,0.89,0.65,0.32,0.38,0.64,0.22,0.58,0.79,0.94,0.47,0.33,0.5,0.03,0.33,0.28,0.68,0.4,0.58,0.07,0.56,0.44,0.6,0.47,0.88,0.63,0.8,0.76,0.24
Lead Product Analyst - NLP,60000,a,U349,1,0.97,0.92,0.26,0.04,0.68,0.75,0.6,0.52,0.22,0.03,0.33,0.04,0.86,0.06,0.26,0.66,0.52,NaN,0.86,0.09,0.38,0.67,NaN,0.57,0.31,0.25,0.66,0.57,0.85,0.46,0.19,0.63,0.61,0.59,0.3,0.96,0.56,0.73,0.99,0.13,0.64,0.89,0.56,0.17,0.09,0.33,0.55,0.39,0.86,0.67,0.75,0.73,0.05,0.26,0.85,0.21
 Marketing Manager - (Remote) m/f/d,NA,e,U350,1,0.12,0.52,0.84,0.81,0.64,0.39,0.92,0.08,0.43,0.39,0.81,0.77,0.81,0.08,0.51,0.9,0.12,0.65,0.29,0.9,0.41,0.3,0.38,NaN,0.14,0.06,0.59,0.76,0.23,0.98,0.94,0.98,NaN,0.2,0.65,0.7,0.87,0.8,0.53,1,0.54,0.99,0.77,0.3,NaN,0.29,0.48,0.75,0.79,0.07,0.91,0.79,0.43,0.43,0.14,0.59
Senior Offline Marketing Manager - New Ventures  (M/F/D),NA,f,U351,0,0.07,0.38,0.54,0.47,0.02,0.61,0.6,0.94,0.51,0.48,0.81,0.98,0.86,0.53,0.61,0.37,0.95,NaN,0.22,0.03,0.92,0.84,0.86,NaN,0.95,NaN,0.49,0.25,0.78,0.89,0.22,0.67,0.33,0.37,0.59,0.96,0.46,0.71,0.95,0.73,0.48,0.74,0.89,0.16,0.6,0.41,0.9,0.21,0.68,0.78,0.41,0.9,0.36,0.26,0.45,0.78
Senior Backend Developer m/f/d,NA,c,U352,1,0.43,0.14,0.39,0.36,0.82,0.39,0.68,0.43,0.99,0.61,0.87,0.08,0.26,0.61,0.05,0.31,0.28,NaN,0.37,0.3,0.96,0.61,0.46,0.28,0.64,0.25,0.22,0.81,0.08,0.91,0.25,0.95,0.19,0.79,0.62,0.25,0.69,0.68,0.69,0.95,0.66,0.94,0.7,0.97,0.51,0.89,0.89,0.7,0.77,0.66,NaN,0.49,0.58,0.13,0.84,0.26
 Manager Policy Affairs - APAC,58000,e,U353,1,0.84,0.41,0.14,0.11,0.85,0.72,0.66,0.68,0.38,0.54,NaN,0.37,0.58,0.39,0.77,0.13,0.4,0.22,0.01,0.81,0.76,0.6,0.58,0.55,0.03,0.78,0.53,0.58,0.57,0.94,0.61,0.66,0.69,0.95,0.57,0.31,0.14,0.74,0.89,0.6,0.13,0.49,0.91,0.34,0.37,0.13,0.31,0.61,0.18,0.57,0.5,0.26,0,0.4,0.1,0.98
Junior Onboarding Manager - New Ventures (M/F/D),64000,c,U354,1,0.58,0.15,0.88,0.23,0.69,0.16,0.73,0.32,0.86,0.81,0.35,0.96,0.64,0.01,0.75,0.82,0.18,NaN,0.71,0.93,0.2,0.56,0.49,NaN,0.76,0.31,0.85,0.2,0.45,0.66,0.11,0.77,0.21,0.04,0.6,0.32,0.77,0.75,0.51,0.71,0.1,0.69,0.07,0.62,0.39,0.94,0.14,0.55,0,0.66,0.38,0.87,0.34,0.47,0.05,0.18
Senior AI Researcher - NLP m/f/d,56000,h,U355,1,0.02,0.5,0.75,0.39,0.72,0.36,0.91,0.29,0.38,0.92,0.9,0.52,0.55,0.76,0.27,0.88,0.47,NaN,0.16,0.24,0.19,0.04,0.49,0.8,0.73,0.46,0.49,0.2,0.11,0.67,0.6,0.84,0.73,0.78,0.48,0.91,0.92,0.08,0.68,0.17,0.47,0.58,0.85,0.57,0.38,0.33,0.24,0.25,0.06,0.99,0.14,0.29,0.81,0.27,0.61,0.9
Lead Product Consultant - NLP (m/f/d),NA,c,U356,0,0.4,0.61,0.4,0.51,0.69,0.08,0.34,0.4,0.84,0.66,0,0.68,0.14,0.88,0.61,0.17,0.43,0.49,0.44,0.63,0.81,0.09,0.57,NaN,0.78,0.1,0.69,0.07,NaN,0.46,0.88,0.35,0.59,0.15,0.95,0.45,0.62,0.02,0.06,0.95,0.77,0.68,0.42,0.84,0.87,0.21,0.92,0.05,0.9,0.28,0.06,0.14,0.49,0.41,0.96,0.42
 Marketing Manager - (Remote) m/f/d,NA,e,U357,0,0.11,0.73,NaN,0.94,0.72,0.32,0.87,0.71,0.36,0.62,0.33,0.9,0.18,1,0.05,0.04,0.75,NaN,0.91,0.4,0.68,0.63,0.94,0.36,0.3,0.14,0.78,0.38,0.04,0.96,0.94,0.78,0.4,0.54,0.1,0.65,0.39,0.33,0.21,0.6,0.6,0.5,0.79,0.31,0.16,0.55,0.93,0,0,0.95,0.63,0.33,NaN,0.06,0.18,0.42
Lead Brand Marketing Manager - New Ventures  m/f/d,57000,b,U358,1,0.52,0.24,NaN,0.59,0.41,0.24,0.41,0.33,0.11,0.45,0.78,0.37,0.75,0.08,0.11,0.61,0.75,NaN,0.17,0.65,0.48,0.84,0.87,0.25,0.44,0.18,0.07,0.51,0.31,0.51,0.32,0.23,0.46,0.07,0.06,0.63,0.56,0.81,0.79,0.11,0.2,0.29,0.9,0.02,0.17,0.01,0.46,0.77,0.62,0.19,0.44,0.61,0.34,0.68,0.79,0.95
Senior Reserch Scientist - NLP,52000,a,U359,0,0.99,0.12,0.52,0.4,0.77,0.18,0.98,0.65,0.81,0.23,0.76,0.85,0.39,0.26,0.19,0.92,0.77,NaN,0.7,0.39,0.73,0.93,0.34,NaN,0.24,0.03,0.2,0.79,0.47,0.15,0.9,0.97,0.64,0.51,0.72,0.99,0.1,0.96,0.32,0.9,0.17,0.64,0.17,0.82,0.02,0.28,0.02,0.61,0.17,0.09,NaN,0.1,0.35,0.85,0.78,0.31
 Software Developer - (Remote) (M/F/D),NA,a,U360,0,0.38,0.19,0.63,0.52,NaN,0.08,0.07,0.23,0.35,0.46,0.39,0.79,0.69,0.21,0.46,0.15,0.22,NaN,0.1,NaN,0.32,0.5,0.94,0.17,0.32,0.44,0.5,0.49,0.37,0.66,0.7,0.4,0.76,0.93,0.49,0.43,0.32,0.71,0.3,0.1,0.24,0.89,0.79,0.58,0.98,0.31,0.44,0.36,0.26,0.75,0.35,0.53,0.84,0.35,0.73,0.18
Senior Data Analyst - Pricing Team M/F/D,NA,e,U361,0,0.86,0.65,0.27,0.56,0.97,0.67,0.98,0.4,0.75,NaN,0.95,0.15,0.85,0.46,0.87,0.29,0.51,NaN,0.5,0.95,0.14,0.06,0.08,NaN,0.44,0.64,0.09,0.56,0.16,0.35,0.2,0.66,0.71,0.22,0.54,0.42,0.72,0.62,0.34,0.57,0.69,0.53,0.86,0.44,0.22,0.22,0.08,0.41,0.68,0.65,0.38,0.79,0.4,0.84,0.66,0.92
Junior Culture Manager - France,NA,c,U362,0,0.8,0.33,0.91,0.71,0.22,0.38,0.47,0.03,0.81,0.56,0.08,0.06,0.26,0.6,0.65,0.83,0.59,NaN,0.61,0.52,0.77,0.17,0.15,NaN,0.97,0.24,0.88,0.05,0.4,0.74,0.61,0.31,0.21,0.9,0.4,0.68,0.83,0.52,0.21,0.87,0.78,0.46,0.48,0.53,0.46,0.94,0.53,0.83,0.21,0.89,0.47,0.41,0.55,0.95,0.07,0.64
Senior Product / UX Engineer - Pricing (M/F/D),NA,f,U363,1,0.37,0.41,0.31,0.9,0.15,0.87,0.42,0.43,0.19,0.46,0.35,0.22,0.5,0.76,0.88,0.98,0.92,NaN,0.26,0.92,0.16,0.39,0.74,0.68,0.8,0.9,0.87,0.64,0.76,0.13,0.09,0.59,0.27,0.56,0.91,0.33,0.87,0.37,0.91,0.39,0.26,0.16,0.05,0.39,0.28,0.83,0.48,0.74,0.12,0.01,0.27,0.98,0.57,0.54,0.95,0.14
 Big Data Analyst - (Internal Audit) (M/F/D),NA,h,U364,1,0.45,0.46,NaN,0.02,0.96,0.54,0.12,0.01,0.63,0.7,0.74,0.16,0.13,0.23,0.36,0.68,0.9,NaN,0.11,0.32,0.38,0.59,0.07,0.48,0.15,0.79,0.43,0.11,0.67,0.26,0.08,0.99,0.89,0.67,0.14,NaN,0.66,0.43,0.35,0.63,0.9,0.68,0.1,0.63,0.82,0.64,0.6,0.33,0.7,0.92,0.32,0.44,0.91,0.02,0.6,0
Junior Performance Marketing Manager - (Remote),NA,g,U365,0,0.26,0.72,0.8,0.84,0.25,0.42,0.54,0.23,NaN,0.16,0.93,0.8,0.72,0.2,0.7,0.42,0.18,NaN,0.07,0.4,0.18,0.72,0.28,NaN,0.6,0.78,0.13,0.66,0.13,0.7,0.18,0.39,0.22,0.75,0.1,0.74,0.06,0.24,0.03,0.52,0.97,0.3,0.83,0.58,0.52,0.4,0.46,0.71,0.62,0.62,0.61,0.4,0.55,0.11,0.03,0.05
 Culture Manager - EU M/F/D,NA,c,U366,0,0.04,0.79,0.97,0.46,0.69,0.95,0.47,0.71,0.43,0.01,0.43,0.41,0.55,0.97,0.83,0.38,0.86,NaN,0.9,0.02,0.55,0.83,0.51,NaN,0.29,0.97,0.07,0.57,0.1,0.11,0.05,0.66,0.07,0.85,0.1,0.7,0.59,0.61,0.2,0.9,0.79,0.85,0.45,0.86,0.48,0.58,0.26,0.06,0.97,0.63,0.37,1,0.2,0.15,0.08,0.95
 Software Developer - (Remote) (M/F/D),NA,g,U367,1,0.77,0.85,0.24,0.61,0.81,0.83,0.16,0.61,0.8,0.1,0.14,0.26,0.48,0.59,0.27,0.29,0.72,NaN,0.14,0.37,1,0.91,0.68,0.41,0.73,0.94,0.77,0.94,0.15,0.41,0.32,0.91,0.46,0.97,0.79,0.24,0.11,0.36,0.37,0.38,0.48,0.39,0.88,0.18,0.01,0.22,0.28,0.6,0.96,0.49,0.86,0.18,0.09,NaN,0.72,0.58
Junior Data Scientist - Deep Learning,NA,a,U368,1,0.38,0.19,0.33,0.14,0.21,0.33,0.79,0.12,0.64,0.86,0.53,0.68,0.27,NaN,0.71,0.44,0.52,0.28,0.09,0.02,0.38,0.17,0.8,NaN,0.36,0.54,0.44,0.55,0.26,0.37,0.38,0.58,0.09,0.93,0.78,0.2,0.3,0.33,0.7,0.54,0.48,0.25,0.29,0.04,0.25,0.59,0.44,0.29,0.85,0.54,0.8,0.73,0.71,0.55,0.46,0.27
Senior Big Data Analyst - (Internal Audit) (M/F/D),65000,c,U369,1,0.71,0.91,0.68,0.95,0.58,0.5,0.04,0.65,0.74,0.48,0.76,0.3,0.49,0.73,0.47,0.52,0.04,0.24,0.01,0.09,0.23,0.68,0.13,NaN,0.92,0.13,0.51,0.21,0.76,0.07,0.93,0.75,0.62,0.76,0.26,0.51,0.07,0.52,0.71,0.06,0.63,0.48,0.89,0.67,0.24,0.21,0.39,0.36,0.02,0.77,0.7,0.27,0.61,0.58,0.24,1
Junior Marketing Manager - New Ventures ,63000,b,U370,0,0.93,0.05,0.13,0.68,0.35,0.32,0.76,0.34,0.84,0.41,0.17,0.98,0.84,0.68,0.7,0.63,0.31,NaN,0.41,0.77,0.19,0.28,0.22,NaN,0.16,0.46,0.33,0.86,0.94,0.19,0.74,0.23,0.16,0.18,0.66,0.09,0.75,0.95,0.71,0.05,0.87,0.12,0.6,0.72,0.18,0.31,0.68,0.18,0.33,0.93,0.05,0.72,0.9,0.7,0.78,0.13
 AI Researcher - Supplier Financing,64000,b,U371,1,0.8,0.42,0.85,0.45,0.15,0.33,0.85,0.1,0.25,0.96,0.39,0.35,0.69,0.49,0.55,0.91,0.78,NaN,0.37,0.8,0.98,0.53,0.23,0.3,0.36,0.46,0.19,0.1,0.54,0.69,0.13,0.38,0.47,0.77,0.9,0.37,0.51,0.66,0.04,0.56,0.91,0.39,0.83,0.33,0.83,0.62,0.11,0.22,0.45,0.43,0.41,0.75,0.63,0.96,0.27,0.84
 Product Analyst - Pricing & Forecasting (M/F/D),58000,f,U372,1,0.28,0.05,0.82,0.44,0.14,0.07,0.82,0.53,0.66,0.65,0.25,0.71,0.53,0.19,0.73,0.7,0.13,NaN,0.33,0.14,0.24,NaN,0.51,NaN,0.77,0.91,0.97,0.55,0.01,0.63,0.53,0.88,0.88,0.4,0.28,0.52,0.2,0.87,0.45,0.22,0.9,0.96,0.93,0.34,0.51,0.04,0.64,0.79,0.23,0.68,0.1,0.29,0.68,0.04,0.18,0.47
Senior Marketing Analyst - New Ventures ,NA,f,U373,1,0.94,0.56,0.74,0.36,0.9,0.73,0.65,0.4,0.66,0.82,0.15,0.01,0.26,0.29,0.65,0.04,0.58,NaN,0.33,0.01,0.63,0.96,0.09,NaN,0.9,0.24,0.3,0.69,0.11,0.51,0.49,0.05,0.42,0.99,0.86,0.89,0.04,0.71,0.3,0.18,0.2,0.88,0.92,0.55,0.59,0.91,0.78,0.75,0.16,0.35,0.67,0.26,0.68,0.56,0.52,0.41
Senior Product Consultant - Pricing m/f/d,66000,f,U374,1,1,0.21,0.01,0.01,0.47,1,0.54,0.6,0.05,0.42,0.67,0.58,0.4,0.7,0.64,0.89,0.34,NaN,0.12,0.9,0.88,0.94,0.94,0.96,0.41,0.57,0.56,0.73,0.91,0.62,0.02,0.14,0.87,0.06,0.62,0.47,0.92,0.85,0.39,0.96,0.22,0.88,NaN,0.56,0.27,0.93,0.4,0.52,0.16,NaN,0.44,0.87,0.22,0.04,0.04,0.66
Junior Product / UX Engineer - NLP (m/f/d),NA,a,U375,1,0.86,0.14,0.36,0.19,0.48,0.09,1,0.84,0.94,0.66,0.29,0.79,0.18,0.17,0.54,0.38,0.01,NaN,0.03,0.36,0.39,0.16,0.69,0.77,0.32,0.19,0.06,0.28,0.83,0.85,NaN,0.79,0.51,0.23,0.55,0.28,0.71,0.92,0.94,0.06,0.52,0.29,0.5,0.89,0.15,0.97,0.11,0.96,0.83,0.78,0.38,0.27,0.86,0.77,0.83,0.03
Senior Marketing Manager - New Ventures ,NA,e,U376,0,0.3,0.22,0.81,0.33,0.44,0.06,0.53,0.38,0.43,0.39,0.19,0.04,0.49,0.76,0.48,0.34,0.51,0.92,0,0.82,0.35,0.73,0.25,NaN,0.21,0.56,0.69,0.51,0.25,0.97,0.93,0.92,0.06,0.86,0.77,0.56,0.47,0.5,0.64,0.06,0.87,0.61,0.09,0.81,0.19,0.8,0.37,0.34,0.8,0.46,0.16,0.48,0.17,0.52,0.23,0.7
