,job_title_full,salary,company,user_id,has_applied,v1,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v2,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v3,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v4,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v5,v50,v51,v52,v53,v54,v55,v56,v6,v7,v8,v9,job_title_full_cat
204,Junior Brand Marketing Manager - Mobile (M/F/D),0.0,h,U205,0.0,0.74,0.72,0.6,0.57,0.7,0.12,0.58,0.38,0.64,0.65,0.29,0.34,0.81,0.75,0.79,0.14,0.03,,0.4,0.69,0.46,0.2,0.34,0.57,0.77,0.8,0.44,0.63,0.16,0.05,0.21,0.91,0.15,0.44,0.48,0.13,0.6,0.79,0.2,0.03,0.36,0.22,0.4,0.38,0.56,0.55,0.02,0.76,0.74,0.89,0.37,0.5066666666666667,0.0,0.18,0.18,0.18,44.0
205, Software Developer - (Remote) (M/F/D),0.0,g,U206,1.0,0.98,0.81,0.85,0.55,0.33,0.9,0.4822222222222222,0.8,0.7,0.52,0.36,0.23,0.18,0.5,0.08,0.12,0.32,0.6066666666666667,0.52,0.18,0.04,0.94,0.68,0.44,0.31,0.7,0.74,0.87,0.73,0.59,0.71,0.65,0.65,0.61,0.58,0.62,0.15,0.35,0.06,0.71,0.67,0.85,0.21,0.96,0.25,0.63,0.97,0.71,0.7,0.3,0.93,0.61,0.87,0.54,0.09,0.72,35.0
206, Performance Marketing Manager - Mobile m/f/d,67000.0,d,U207,0.0,0.13,0.36,0.35,0.28,0.83,0.89,0.19,0.52,0.69,0.27,0.89,0.23,0.96,0.65,0.18,0.97,0.41,0.42,0.49,0.65,0.17,0.93,0.89,0.28,0.8,0.66,0.96,0.15,0.7,0.14,0.1,0.58,0.6,0.51,0.43,0.08,0.64,0.47,0.5,0.02,0.91,0.06,0.47,0.82,0.31,0.46,0.29,0.99,0.04,0.55,0.39,0.43,0.61,0.48,0.18,0.82,24.0
207,Junior Manager Innovation Lab - France (M/F/D),54000.0,c,U208,1.0,0.73,0.92,0.49,0.07,0.29,0.33,0.41,0.14,0.32,0.8,0.72,0.15,0.39,0.02,0.89,0.68,0.08,0.485,0.6,0.1,0.81,0.33,0.44,0.05,0.67,0.31,0.57,0.15,0.56,0.77,0.39,0.66,0.52,0.93,0.04,0.6,0.03,0.47,0.5,0.9,0.83,0.94,0.93,0.6,0.41,0.9,0.21,1.0,0.6,0.75,0.52,0.49,0.43,0.62,0.68,0.34,55.0
208,Senior SEO Marketeer - (Remote),0.0,d,U209,0.0,0.36,0.99,0.3,0.54,0.32,0.03,0.9,0.47,0.87,0.43,0.86,0.65,0.2,0.56,0.37,0.0,0.15,0.33,0.4,0.65,0.5,0.11,0.07,,0.22,0.37,0.37,0.08,0.84,0.89,0.88,0.15,0.34,0.88,0.6439999999999999,0.7,0.52,0.77,0.4,0.98,0.15,0.7,0.09,0.35,0.27,0.21,0.31,0.31,0.99,0.15,0.49750000000000005,0.16,0.93,0.31,0.07,0.14,149.0
209,Lead Brand Marketing Manager - New Ventures  m/f/d,0.0,a,U210,1.0,0.96,0.75,0.21,1.0,0.16,0.38,0.57,0.6,0.26,0.06,0.88,0.18,0.79,0.40363636363636357,0.45,0.01,0.9,0.22,0.18,0.86,0.77,0.96,0.55,0.96,0.24,0.14,0.5,0.7,0.13,0.24,0.95,0.63,0.69,0.88,0.91,0.06,0.4645454545454545,0.92,0.69,0.13,0.16,0.41,0.63,0.94,0.99,0.29,0.63,0.620909090909091,0.91,0.98,0.25,0.31,0.54,0.24,0.63,0.39,83.0
210, Data Consultant - NLP,0.0,g,U211,1.0,0.83,0.55,0.06,0.49,0.88,1.0,0.95,0.5,0.99,0.29,0.82,0.05,0.44,0.24,0.43,0.92,0.9,0.62,0.02,0.1,0.3,0.98,0.92,0.98,0.55,0.38,0.85,0.55,0.7,0.32,0.11,0.67,0.87,0.94,1.0,0.69,0.15,0.34,0.77,0.57,0.05,0.08,0.49,0.81,0.13,0.78,0.36,0.11,0.18,0.31,0.29,0.12,0.86,0.56,0.55,0.53,9.0
211,Senior Manager Policy Affairs - France (m/f/d),0.0,e,U212,0.0,0.5,0.12,0.02,0.35,0.02,0.74,0.42,0.8,0.6,0.06,0.71,0.19,0.4383333333333333,0.89,0.77,0.8,0.16,0.5900000000000001,0.62,0.84,0.69,0.56,0.08,,0.89,0.4875,0.12,0.33,0.21,0.97,0.36,0.36,0.5,0.07,0.76,0.79,0.44,0.18,0.59,0.81,0.2,0.77,0.98,0.88,0.89,0.22,0.09,0.93,0.07,0.67,0.7,0.6,0.35,0.86,0.63,0.65,134.0
212,Lead Data Science Manager - APAC,58000.0,g,U213,1.0,0.6,0.65,0.1,0.06,0.31,0.35,0.57,0.57,0.33,0.98,0.17,0.98,0.77,0.1,0.62,0.26,0.17,0.56,0.39,0.44,0.88,0.25,0.99,0.375,0.61,0.8,0.21,0.73,0.32,0.81,0.36,0.98,0.4,0.58,0.82,0.616,0.21,0.89,0.01,0.91,0.06,0.66,0.25,0.16,0.484,0.16,0.96,0.15,0.1,0.59,0.41,0.15,0.24,0.82,0.37,0.08,88.0
213,Lead Online Marketing Manager - (Remote) M/F/D,69000.0,d,U214,0.0,0.9,0.34,0.07,0.81,0.01,0.21,0.26,0.75,0.04,0.5857142857142856,0.32,0.3885714285714285,0.89,0.12,0.8,0.55,0.09,0.55,0.89,0.13,0.37,0.59,0.77,0.5875,0.69,0.12,0.27,0.09,0.59,0.31,0.86,0.52,0.86,0.98,0.09,0.34,0.34,0.61,0.06,0.11,0.22,0.45,0.66,0.43,0.53,0.09,0.98,0.82,0.65,0.3,0.16,0.33,0.92,0.61,0.9,0.74,100.0
214,Senior Product Owner - NLP,0.0,e,U215,1.0,0.49,0.39499999999999996,1.0,0.81,0.22,0.5,0.06,0.88,0.16,0.53,0.82,0.65,0.09,0.46,0.63,0.89,0.93,0.72,0.14,0.25,0.91,0.34,0.16,0.32,0.47,0.17,0.15,0.65,0.64,0.31,0.27,0.56,0.64,0.21,0.31,0.65,0.27,0.47,0.8,0.92,0.42,0.93,0.28,0.88,0.645,0.57,0.23,0.54,0.37,0.66,0.23,0.53,0.55,0.57,0.78,0.73,146.0
215,Junior SEO Marketing Manager - New Ventures  (m/f/d),0.0,c,U216,1.0,0.5,0.82,0.14,0.73,0.09,0.33,0.38,0.96,0.05,0.3,0.71,0.11,0.92,0.99,0.56,0.91,0.88,0.95,0.9,0.51,0.87,0.53,0.5,0.51,0.08,0.73,0.41,0.92,0.97,0.09,0.89,0.92,0.06,0.19,0.05,0.56,0.29,0.02,0.84,0.7,0.62,0.69,0.86,0.49,0.45,0.3,0.38,0.87,0.93,0.83,0.08,0.6,0.06,0.27,0.04,0.79,72.0
216,Senior AI Researcher - NLP m/f/d,51000.0,h,U217,1.0,0.96,0.2,0.78,0.39,0.33,0.99,0.83,0.56,0.21,0.66,0.64,0.52,0.7,0.53,0.28,0.07,0.78,0.5466666666666666,0.59,0.14,0.27,0.56,0.57,0.7000000000000001,0.8,0.68,0.03,0.03,0.13,0.52,0.49,0.51,0.08,0.18,0.42,0.08,0.85,0.54,0.68,0.47,0.72,0.76,0.39,0.32,0.55,0.69,0.68,0.2,0.62,0.3,0.44,0.69,0.38,0.75,0.43,0.36,117.0
217, Frontend Engineer - Deep Learning (m/f/d),55000.0,e,U218,1.0,0.2,0.99,0.44,0.44,0.5,0.57,0.01,0.22,0.84,0.14,0.5377777777777778,0.95,0.96,0.75,0.85,0.74,0.89,0.658,0.69,0.78,0.75,0.65,0.64,0.89,0.41,0.68,0.62,0.03,0.19,0.62,0.1,0.53,0.79,0.2,0.48,0.86,0.74,0.3,0.34,0.62,0.34,0.31,0.01,0.35,0.21,0.23,0.82,0.72,0.48,0.99,0.71,0.28,0.52,0.88,0.21,0.65,12.0
218,Junior SEO Manager - New Ventures ,0.0,e,U219,0.0,0.03,0.72,0.47,0.23,0.07,0.76,0.19,0.84,0.16,0.36,0.98,0.11,0.49,0.78,0.8,0.37,0.67,0.625,0.85,0.06,0.05,0.83,0.92,0.54,0.96,0.48,0.3,0.35,0.13,0.65,0.81,0.63,0.02,0.45,0.94,0.44,0.31,0.45,0.1,0.1,0.55,0.92,0.68,0.34,0.18,0.86,0.69,0.14,0.33,0.63,0.05,0.02,0.9,0.01,0.83,0.19,70.0
219, Software Engineer - (Remote),0.0,c,U220,0.0,0.09,0.39,0.87,0.26,0.77,0.61,0.78,0.69,0.83,0.22,0.07,0.36,0.84,0.57,0.75,0.95,0.57,0.35,0.37,0.79,0.59,0.4,0.76,,0.77,0.0,0.64,0.91,0.41,0.75,0.75,0.93,0.94,0.59,0.44,0.84,0.48,0.83,0.51,0.49,0.07,0.78,0.08,0.04,0.68,0.03,0.82,0.06,0.32,0.17,0.64,0.75,0.73,0.49,0.97,0.69,36.0
220,Lead Online Marketing Manager - (Remote) M/F/D,0.0,b,U221,1.0,0.47,0.56,0.31,0.8,0.27,0.43,0.85,1.0,0.87,0.78,0.16,0.77,0.64,0.98,0.4,0.58,0.68,0.11,0.78,0.79,0.08,0.49,0.4692307692307691,0.83,0.76,0.79,0.64,0.12,0.47,0.53,0.16,0.73,0.49230769230769234,0.66,0.23,0.87,0.68,0.7,0.31,0.08,0.6,0.89,0.94,0.99,0.59,0.46,0.34,0.23,0.69,0.02,1.0,0.36,0.88,0.57,0.33,0.54,100.0
221, SEO Marketing Manager m/f/d,0.0,a,U222,0.0,0.16,0.56,0.64,0.25,0.67,0.16,0.06,0.18,0.69,0.51,0.6,0.75,0.85,0.83,0.01,0.55,0.08,0.5933333333333334,0.47,0.7,0.93,0.68,0.7,0.31333333333333335,0.44,0.14,0.56,0.11,0.65,0.93,0.52,0.5,0.94,0.93,0.02,0.52,0.98,0.62,0.59,0.09,0.03,0.16,0.02,0.89,0.19,0.35,0.205,0.95,0.41,0.68,0.24,0.18,0.46,0.14,0.34,0.58,33.0
222,Senior SEO Marketeer - (Remote),0.0,g,U223,1.0,0.16,0.61,0.06,0.65,0.83,0.12,0.96,0.37,0.32,0.74,0.45,0.51,0.6399999999999999,0.5625,0.02,0.16,0.83,0.2,0.08,0.71,0.64,0.28,0.51,0.71,0.29,0.89,0.67,0.6,0.65,0.18,0.51,0.02,0.68,0.59,0.15,0.82,0.68,0.7,0.37,0.01,0.79,0.63,0.38,0.92,0.85,0.54,0.83,0.84,0.19,0.48,0.11,0.47,0.49,0.03,0.13,0.73,149.0
223, Business Development Manager - EU,0.0,e,U224,0.0,0.84,0.54,0.7,0.08,0.92,0.55,0.12,0.76,0.73,0.58,0.87,0.04,0.57,0.39,0.25,0.65,0.75,,0.51,0.47,0.94,0.96,0.27,0.4,0.1,0.62,0.57,0.89,0.8,0.58,0.45,0.08,0.02,0.29,0.22,0.22,0.73,0.15,0.96,0.37,0.93,0.33,0.81,0.22,0.66,0.34,0.48,0.15,0.16,0.69,0.83,0.29,0.75,0.78,0.53,0.85,6.0
224, Backend Developer (m/f/d),50000.0,d,U225,0.0,0.82,0.75,0.11,0.36,0.59,0.2,0.63,0.45,0.74,0.41,0.91,0.34,0.46,0.82,0.58,0.3,0.98,0.28,0.71,0.49,0.88,0.18,0.49,,0.07,0.7,0.06,0.37,0.53,0.78,0.66,0.4839999999999999,0.95,0.67,0.7,0.22,0.91,0.58,0.48,0.94,0.97,0.78,0.02,0.07,0.96,0.06,0.15,0.63,0.77,0.66,0.63,0.34,0.22,0.74,0.58,0.72,1.0
225,Senior Growth Hacker - New Ventures  (M/F/D),0.0,d,U226,0.0,0.58,0.08,0.91,0.84,0.36,0.24,0.77,0.69,0.4633333333333332,0.67,0.65,0.39,0.81,0.2,0.98,0.08,0.86,0.73,0.03,0.04,0.56,0.56,0.16,0.535,0.46,0.23,0.28,1.0,0.5,0.39,0.42,0.14,0.75,0.44,0.95,0.22,0.43,0.74,0.01,0.68,0.86,0.77,0.74,0.67,0.45,0.3,0.75,0.49,0.06,0.72,0.87,0.38,0.61,0.09,0.6,0.18,130.0
226,Senior Brand Manager - (Remote),0.0,a,U227,0.0,0.44,0.96,0.56,0.26,0.88,0.6,0.72,0.36,0.43,0.32,0.35,0.45,0.27,0.62,0.22,0.69,0.62,0.22,0.14,0.04,0.24,0.68,0.07,,0.97,0.43,0.07,0.69,0.72,0.13,0.79,0.39,0.4,0.86,0.71,0.99,0.59,0.08,0.14,0.47,0.11,0.55,0.6725000000000001,0.51,0.26,0.35,0.27,0.0,0.55,0.86,0.96,0.44,0.42,0.79,0.17,0.46,121.0
227, UI Designer m/f/d,52000.0,f,U228,1.0,0.31,0.67,0.54,0.82,0.24,0.14,0.21,0.16,0.63,0.94,0.12,0.08,0.58,0.71,0.31,0.42,0.76,0.6725,0.34,0.3,0.51,0.91,0.48,0.59,0.17,0.75,0.3,0.61,0.75,0.72,0.41,0.24,0.96,0.52,0.41,0.02,0.27,0.06,0.58,0.98,0.81,0.39,0.14,0.57,0.52,0.24,0.48,0.05,0.13,0.86,0.3,0.65,0.59,0.5,0.87,0.37,38.0
228,Senior SEO Marketing Manager - (Remote),0.0,h,U229,1.0,0.66,0.07,0.28,0.53,0.85,0.66,0.48,0.85,0.58,0.12,0.83,0.26,0.09,0.93,0.9,0.71,0.15,0.67,0.21,0.36,0.71,0.79,0.06,0.455,0.32,0.36,0.97,0.35,0.33,0.46,0.75,0.2,0.69,0.23,0.19,0.4,0.62,0.47,0.11,0.81,0.77,0.9,0.37,0.26,0.2,0.3,0.03,0.45,0.97,0.49,0.81,0.8,0.23,0.52,0.09,0.6,150.0
229,Junior Backend Developer M/F/D,51000.0,c,U230,1.0,0.02,0.21,0.68,0.85,0.91,0.06,0.07,0.23,0.34,0.77,0.44,0.56,0.85,0.27,0.84,0.06,0.81,0.15,0.91,0.43,0.48,0.47,0.89,0.28,0.25,0.75,0.03,0.0,0.14,0.43,0.83,0.81,0.78,0.34,0.59,0.25,0.34,0.75,0.66,0.13,0.99,0.78,0.9,0.85,1.0,0.49,0.24,0.54,0.96,0.34,0.56,0.95,0.51,0.58,0.98,0.87,40.0
230,Senior Big Data Analyst - (Internal Audit) (M/F/D),51000.0,b,U231,1.0,0.44,0.33,0.12,0.12,0.97,0.09,0.31,0.08,0.05,0.94,0.6,0.1,0.82,0.15,0.58,0.11,0.51,0.73,0.16,0.65,0.32,0.12,0.08,0.655,0.25,0.49,0.89,0.15,0.88,0.93,0.47,0.12,0.27,0.588,0.02,0.65,0.27,0.59,0.96,0.42,0.75,0.5,0.6,0.41,0.98,0.15,0.91,0.35,0.65,0.36,0.55,0.22,0.58,0.87,0.73,0.78,120.0
231,Senior Online Marketing Manager - Mobile M/F/D,0.0,g,U232,0.0,0.66,0.23,0.45,0.11,0.32,0.85,0.16,0.63,0.87,0.8,0.66,0.04,0.82,0.44,0.68,0.86,0.03,0.55,0.95,0.03,0.22,0.21,0.87,0.47,0.39,0.34,0.46,0.42,0.23,0.89,0.48,0.8,0.29,0.37,0.04,0.22,0.6625,0.13,1.0,0.05,0.89,0.24,0.49,0.08,0.21,0.97,0.24,0.83,0.93,0.55625,0.475,0.44,0.36,0.53,0.32,0.8,139.0
232,Lead Data Science Manager - APAC,0.0,c,U233,0.0,0.82,0.31,0.51,0.9,0.75,0.7,0.19,0.88,0.13,0.34,0.19,0.66,0.54,0.35,0.27,0.16,0.364,,0.12,0.34,0.34,0.24,0.18,0.45,0.46,0.47,0.28,0.26,0.5,0.95,0.62,0.08,0.77,0.31,0.07,0.51,0.08,0.24,0.17,0.9,0.4,0.21,0.21,0.26,0.7466666666666666,0.02,0.0,0.33,0.48,0.51,0.38,0.31,0.56,0.36,0.12,0.4,88.0
233,Senior Onboarding Manager (m/f/d),70000.0,e,U234,0.0,0.68,0.41,0.47,0.29,0.02,0.23,0.89,0.97,0.01,0.07,0.65,0.51,0.03,0.84,0.01,0.5,0.09,0.315,0.47,0.3,0.19,0.21,0.91,0.25,0.42,0.74,0.2883333333333334,0.93,0.15,0.48,0.37,0.91,0.49,0.46,0.01,0.52,0.76,0.07,0.48,0.14,0.86,0.77,0.41,0.85,0.11,0.5416666666666666,0.74,0.1,0.55,0.65,0.79,0.03,0.45,0.43,0.52,0.18,138.0
234,Junior SEO Marketing Manager - New Ventures  (m/f/d),0.0,c,U235,1.0,0.5,0.4,0.49,0.37,0.49,0.36,0.45,0.78,0.0,0.65,0.35,0.96,0.82,0.51,0.63,0.58,0.39,0.596,0.3,0.16,0.45,0.62,0.42,0.25,0.48,0.26,0.37,0.49,0.2,0.56,0.35,0.54,0.71,0.37,0.49,0.72,0.7,0.09,0.2,0.62,0.69,0.52,0.67,0.59,0.46,0.06,0.45,0.2,0.55,0.71,0.4128571428571429,0.22,0.26,0.65,0.37,0.82,72.0
235, Shop Manager - France,0.0,e,U236,0.0,0.16,0.62,0.99,0.67,0.56,0.77,0.4,0.14,0.37,0.64,0.47,0.44,0.37,0.19,0.1,0.01,0.53,0.38,0.3,0.74,0.25,0.1,0.61,,0.31,0.83,0.66,0.3,0.06,0.12,0.64,0.78,0.87,0.11,0.99,0.61,0.27,0.27,0.13,0.36,0.2,0.79,0.29,0.76,0.29,0.19,0.46,0.26,0.01,1.0,0.06,0.14,0.37,0.91,0.47,0.19,34.0
236,Lead Backend Developer - Deep Learning,64000.0,c,U237,1.0,0.02,0.9,0.03,0.98,0.1,0.44,0.92,0.57,0.08,0.13,0.64,0.69,0.47,0.56,0.67,0.92,0.35,0.565,0.51,0.87,0.56,0.65,0.32,0.69,0.04,0.92,0.1,0.19,0.99,0.96,0.15,0.56,0.56,0.47,0.05,0.69,0.0,0.77,0.52,0.62,0.48,0.13,0.77,0.96,0.16,0.11,0.6,0.92,0.71,0.43,0.37,0.77,0.46,0.96,0.21,0.92,79.0
237,Junior Brand Manager - (Remote) m/f/d,52000.0,a,U238,1.0,0.39,0.72,0.67,0.35,0.18,0.48,0.79,0.61,0.45599999999999996,0.22,0.97,0.95,0.34,0.63,0.59,0.67,0.1,0.5750000000000001,0.2,0.85,0.24,0.48,0.25,0.955,0.02,0.41,0.49,0.16,0.92,0.12,0.28,0.4383333333333333,0.72,0.51,0.59,0.08,0.04,0.6,0.91,0.27,0.08,0.48,0.79,0.09,0.88,0.78,0.06,0.3,0.09,0.71,0.98,0.79,0.24,0.35,0.12,0.5,43.0
238,Senior Sustainability Manager,0.0,c,U239,1.0,0.39,0.56,0.03,0.84,0.34,0.69,0.76,0.29,0.43,0.46,0.94,0.23,0.5344444444444444,0.98,0.43,0.77,0.01,0.99,0.78,0.05,0.73,0.49,0.76,0.43,0.69,0.35,0.46,0.4,1.0,0.78,0.11,0.74,1.0,0.84,0.5562500000000001,0.18,0.14,0.48,0.84,0.39,0.98,0.01,0.0,0.53,0.28,0.65,0.68,0.16,0.21,0.43,0.05,0.39,0.18,0.15,0.78,0.23,154.0
239,Junior Backend Developer M/F/D,0.0,e,U240,0.0,0.14,0.75,0.33,0.56,0.69,0.82,0.01,0.93,0.35,0.19,0.44,0.01,0.59,0.22,0.86,0.61,0.23,0.52,0.75,0.42,0.04,0.52,0.02,0.38,0.91,0.51,0.06,0.85,0.66,0.81,0.45,0.7,0.43,0.25,0.44,0.2,0.11,0.77,0.08,0.08,0.21,0.2,0.38,0.88,0.72,0.73,0.74,0.22,0.03,0.18,0.9,0.77,0.28,0.92,0.53,0.25,40.0
240,Lead Software Engineer - Deep Learning M/F/D,0.0,c,U241,0.0,0.05,0.48,0.26,0.36999999999999994,0.44,0.19,0.42,0.94,0.59,0.04,0.74,0.02,0.52,0.75,0.8,0.06,0.52,0.61,0.06,0.55,0.22,0.73,0.66,,0.8,0.59,0.45,0.03,0.39,0.91,0.21,0.93,0.26,0.4166666666666667,0.31,0.55,0.25,0.46,0.17,0.46,0.86,0.64,0.4,0.9,0.59,0.83,0.76,0.53,0.16,0.45,0.4,0.31,0.62,0.4,0.39,0.9,114.0
241, SEO Marketing Manager m/f/d,0.0,b,U242,0.0,0.07,0.35,0.51,0.25,0.8,0.87,0.56,0.0,0.23,0.69,0.59,0.15,0.7,0.83,0.19,0.75,0.03,0.5933333333333334,0.4,0.99,0.7,0.14,0.24,0.27,1.0,0.69,0.77,0.13,0.68,0.68,0.98,0.23,0.73,0.47,0.11,0.06,0.07,0.91,0.9,0.02,0.68,0.62,0.15,0.78,0.95,0.29,0.15,0.69,0.02,0.01,0.77,0.56,0.88,0.81,0.58,0.57,33.0
242,Senior SEO Manager - (Remote) (m/f/d),0.0,c,U243,0.0,0.15,0.7,0.53,0.37,0.04,0.19,0.15,0.19,0.97,0.26,0.45,0.82,0.58,0.2,0.11,0.24,0.52,0.475,0.09,0.36,0.34,0.3,0.28,0.96,0.36,0.23,0.33,0.89,0.3,0.58,0.32,0.26,0.45,0.28,0.66,0.95,0.38,0.63,0.61,0.82,0.93,0.19,0.05,0.48,0.1,0.56,0.33,0.86,0.8,0.32,0.2,0.14,0.93,0.26,0.51,0.1,148.0
243, Performance Marketing Manager - Mobile m/f/d,0.0,f,U244,1.0,0.82,0.646,0.34,0.02,0.83,0.39,0.01,0.48,0.12,0.38,0.24,0.78,0.06,0.77,0.03,0.99,0.06,0.815,0.24,0.21,0.3,0.91,0.25,0.5033333333333333,0.03,0.05,0.71,0.34,0.14,0.46,0.42,0.77,0.77,0.78,0.8,0.42,0.56,0.39,0.02,0.96,0.17,0.04,0.22,0.67,0.54,0.14,0.36,0.32,0.49,0.54,0.77,0.72,0.29,0.96,0.26,0.93,24.0
244,Lead Big Data Analyst - Pricing Team,59000.0,g,U245,0.0,0.2,0.21,0.63,0.13,0.75,0.64,0.37,0.85,0.05,0.66,0.2,0.11,0.03,0.4,0.52,0.03,0.06,0.19000000000000003,0.92,0.21,0.64,0.4,0.62,0.4,0.62,0.88,0.42,0.53,0.57,0.27,0.94,0.7,0.09,0.34,0.23,0.53,0.47555555555555556,0.28,0.88,0.0,0.52,0.02,0.45,0.3777777777777777,0.57,0.22,0.48,0.68,0.53,0.14,0.03,0.27,0.14,0.52,0.87,0.13,81.0
245,Senior Manager Innovation Lab - APAC m/f/d,0.0,e,U246,1.0,0.95,0.86,0.23,0.81,0.44,0.51,0.62,0.59,0.1,0.1,0.54,0.75,0.43,0.25,0.31599999999999995,0.62,0.01,0.13,0.58,0.64,0.83,0.19,0.94,0.77,0.59,0.1,0.99,0.65,0.83,0.22,0.49,0.82,0.03,0.84,0.26,0.34,0.99,0.06,0.07,0.49,0.33,0.16,0.18,0.6,0.02,0.34,0.5,0.49,0.11,0.13,0.54,0.45,0.13,0.22,0.7,0.28,133.0
246, Big Data Analyst - (Internal Audit) (M/F/D),0.0,a,U247,1.0,0.36,0.61,0.49,0.42,1.0,0.96,0.19,0.28,0.34,0.92,0.9,0.6,0.72,0.19,0.14,0.78,0.59,0.6675,0.6,0.06,0.48,0.12,0.33,0.5371428571428571,0.81,0.05,0.08,0.22,0.68,0.54,0.51,0.53,0.07,0.97,0.44,0.77,0.53,0.76,0.56,0.2,0.39,0.16,0.88,0.28,0.15,0.9,0.63,0.5,0.07,0.96,0.37,0.12,0.57,0.48,0.26,0.16,3.0
247,Junior Marketing Analyst - (Remote),0.0,d,U248,0.0,0.16,0.72,0.45,0.79,0.02,0.23,0.5,0.69,0.38,0.46,0.47,0.85,0.88,0.12,0.31,0.89,0.94,0.09,0.43,0.7,0.72,0.14,0.56,,0.34,0.05,0.93,0.5,0.506,0.716,0.81,0.23,0.76,0.03,0.68,0.08,0.76,0.57,0.64,0.23,0.52,0.32,0.4619999999999999,0.58,0.52,0.55,0.79,0.09,0.01,0.75,0.46,0.72,0.46799999999999997,0.69,0.69,0.22,57.0
248,Junior UI Designer - (Remote),60000.0,f,U249,1.0,0.53,0.17,0.85,0.79,0.57,0.82,0.76,0.93,0.28,0.14,0.54,0.66,0.5,0.94,0.09,0.19,0.98,0.665,0.74,0.75,0.11,0.23,0.14,0.466,0.51,0.6,0.37,0.48,0.44,0.09,0.47,0.0,0.64,0.13,0.5255555555555556,0.59,0.31,0.16,0.42,0.13,0.18,0.46,0.32,0.42,0.62,0.87,0.17,0.13,0.17,0.87,0.16,0.84,0.39,0.52,0.24,0.87,77.0
249,Junior Business Development Manager - France,0.0,h,U250,1.0,0.43,0.42888888888888893,0.59,0.28,0.34,0.58,0.02,0.07,0.07,0.96,0.32,0.82,0.61,0.81,0.99,0.43,0.64,0.06,0.22,0.23,0.2,0.99,0.26,0.35,0.76,0.2,0.88,0.83,0.8,0.08,0.61,0.42,0.15,0.55,0.78,0.41,0.46,0.8,0.07,0.26,0.55,1.0,0.12,0.5,0.4,0.72,0.74,0.25,0.59,0.47,0.55,0.41,0.46,0.98,0.81,0.61,45.0
250,Senior AI Researcher - NLP m/f/d,0.0,e,U251,0.0,0.41,0.32,0.38,0.95,0.08,0.02,0.09,0.26,0.79,0.9,0.12,0.65,0.68,0.95,0.56,0.5,0.9,0.835,0.18,0.3,0.99,0.9,0.2,0.35250000000000004,0.98,0.33,0.45,0.5199999999999999,0.8,0.84,0.22,0.05,0.73,0.06,0.09,0.53,0.99,0.21,0.63,0.35,0.36333333333333334,0.49,0.32,0.82,0.65,0.55,0.06,0.04,0.54,0.0,0.17,0.81,0.53,0.45,0.72,0.8,117.0
251, Sustainability Manager - APAC,0.0,h,U252,0.0,0.89,0.11,0.25,0.62,0.39,0.53,0.94,0.5125,0.67,0.83,0.52,0.32,0.37,0.78,0.82,0.35,0.02,0.42,0.19,0.22,0.47,0.4,0.88,0.5,0.67,0.38,0.41,0.68,0.26,0.76,0.21,0.44,0.91,0.97,0.19,0.39,0.65,0.86,0.94,0.97,0.06,0.22,0.98,0.28,0.41,0.39666666666666667,0.16,0.91,0.69,0.18,0.6,0.62,0.08,0.15,0.22,0.62,37.0
252,Senior Shop Manager - New Ventures,63000.0,a,U253,1.0,0.13,0.19,0.9,0.05,0.38,0.08,0.57,0.41,0.4,0.58,0.28,0.72,0.56,0.55,0.02,0.73,0.49,0.62,0.3,0.21,0.23,0.66,0.97,0.31,0.65,0.78,0.7,0.21,0.04,0.25,0.9,0.32,0.53,0.68,0.22,0.01,0.51,0.58,0.54,0.16,0.79,0.85,0.64,0.25,0.76,0.83,0.65,0.23,0.88,0.71,0.35,0.48,0.33,0.49,0.98,0.28,151.0
253,Senior UI Designer,0.0,f,U254,0.0,0.47,0.19,0.16,0.05,0.45,0.81,0.33,0.92,0.33,0.01,0.73,0.02,0.9,0.43,0.29,0.73,0.08,0.44499999999999995,0.65,0.08,0.6342857142857142,0.46,0.05,0.21,0.86,0.27,0.88,0.59,0.76,0.08,0.34,0.42,0.4,1.0,0.46,0.77,0.48,0.63,0.12,0.9,0.71,0.28,0.65,0.71,0.62,0.98,0.68,0.76,0.19,0.68,0.99,0.25,0.99,0.34,0.77,0.07,155.0
254,Lead Backend Engineer - Deep Learning,65000.0,d,U255,1.0,0.9,0.68,0.72,0.33,0.35,0.8,0.87,0.54,0.55,0.55,0.65,0.75,0.96,0.01,0.18,0.45,0.1,0.515,0.49,0.08,0.4,0.6,0.32,0.12,0.47,0.8,0.52,0.97,0.59,0.52,0.27,0.54,0.92,0.36,0.35,0.56,0.67,0.28,0.16,0.75,0.96,0.76,0.39,0.13,0.8,0.43,0.9,0.8,0.58,0.06,0.05,0.24,0.01,0.7,0.87,0.472,80.0
